subject,section,title,source_url,download_url,output_path,status,note,sha256,bytes
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,Matemáticas Aplicadas a las Ciencias Sociales II 2024-2025 coincidencia,https://drive.google.com/file/d/1VIFJdfxBrYq7BYm4g1YtWzh-cJYHVT9c/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1VIFJdfxBrYq7BYm4g1YtWzh-cJYHVT9c,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2024_2025_coincidencias.pdf,downloaded,,b866bc71252d11f2f3d26247e28fa901dab947ef004aaec81e751f7237e80ca6,706561
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,Matemáticas Aplicadas a las Ciencias Sociales II 2024-2025,https://drive.google.com/file/d/1W3Yzqh0q8ApU8JISshQmOou4Umep_F3d/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1W3Yzqh0q8ApU8JISshQmOou4Umep_F3d,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2024_2025.pdf,downloaded,,adb5bb1ba9d7634070988f79da73a3142d29e3208974112e9b2664c44df26c4c,917126
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,Matemáticas Aplicadas a las Ciencias Sociales II 2023-2024 coincidencias,https://drive.google.com/file/d/1-P0_qWkuKy0DSg2mGZHUQU3Ze2PphY6R/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1-P0_qWkuKy0DSg2mGZHUQU3Ze2PphY6R,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2023_2024_coincidencias.pdf,downloaded,,aedce0fb260e02046e72427220c4a6fc7ac505e1f93032741d24996b44d9b4fa,677967
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,Matemáticas Aplicadas a las Ciencias Sociales II 2023-2024,https://drive.google.com/file/d/1gjq5cX3Yt-0fO3R0SpbbwYcTkaf2fskb/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1gjq5cX3Yt-0fO3R0SpbbwYcTkaf2fskb,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2023_2024.pdf,downloaded,,c513f169e3f756ec82dbe01a28da0433786c6f8bdbc2be5ce418599e68d595d1,789999
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2022-2023 coincidencias,https://drive.google.com/file/d/1zsrYzRyRLxmvj1HM2z_V72jLILIQzLLV/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1zsrYzRyRLxmvj1HM2z_V72jLILIQzLLV,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2022_2023_coincidencias.pdf,downloaded,,adcf4cce7ab182b248d196f8b5f00211610b7d507cbc1ee8df83df1c98ce46d8,251190
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2022-2023,https://drive.google.com/file/d/1cHhF6A36PzZQE2pLc_OE5UxiZyNxb4NE/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1cHhF6A36PzZQE2pLc_OE5UxiZyNxb4NE,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2022_2023.pdf,downloaded,,950402179b3c818b1e411d700ddad3b675f50adcb2e363567f8092d610ab32cb,435029
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2021-2022 coincidencias,https://drive.google.com/file/d/1L1WvDcBIdkh3c4XXK388h1WmksGTbxvW/view?usp=sharing,https://drive.google.com/uc?export=download&id=1L1WvDcBIdkh3c4XXK388h1WmksGTbxvW,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2021_2022_coincidencias.pdf,downloaded,,8efb636f95fad061edb796adc44a4486177e3bc5c1e78012e35711b5a5fc394c,744984
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2021-2022,https://drive.google.com/file/d/1-euqa_EyasX3ahrcM9eX05VLad1OwOKY/view?usp=sharing,https://drive.google.com/uc?export=download&id=1-euqa_EyasX3ahrcM9eX05VLad1OwOKY,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2021_2022.pdf,downloaded,,561accfa0c573c57b6664f5443bbc04bc314384c1a4ff9c496d33f71f03d916a,631645
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2020-2021,https://drive.google.com/file/d/1Fci7xKS9InS8CMEm-S5axdxm1MsNwP0M/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Fci7xKS9InS8CMEm-S5axdxm1MsNwP0M,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2020_2021.pdf,downloaded,,b5ba833f52460e79216904b0ccede832480a14f6575a36987a22dc323fc856f5,429296
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II,https://drive.google.com/file/d/1_iOPGhJtIdP7xyI9LE2PYUt26U_iLVH0/view?usp=sharing,https://drive.google.com/uc?export=download&id=1_iOPGhJtIdP7xyI9LE2PYUt26U_iLVH0,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/maaccss_ii.pdf,downloaded,,6c6341a54a51b2ca14cb03317d655fbc6b7e6d219a2c65732cfab3946893946b,243436
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2019-2020,https://drive.google.com/file/d/1AW8Aohvrj95rCUC66v1-j5GNAYXR-T3h/view?usp=sharing,https://drive.google.com/uc?export=download&id=1AW8Aohvrj95rCUC66v1-j5GNAYXR-T3h,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2019_2020.pdf,downloaded,,410eb6e7e32ca2f85a936e26608cddd2fb2e15ef75a69b32440981ef4369094a,583433
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2018-2019,https://drive.google.com/file/d/14kqZuDol9FyQFHKOWqzmjyXfi7mka3B4/view?usp=sharing,https://drive.google.com/uc?export=download&id=14kqZuDol9FyQFHKOWqzmjyXfi7mka3B4,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2018_2019.pdf,downloaded,,5e197907a72a1d986fbfc44fd7ec385e5f756828b3ea15b438d69d34450e3fd6,132226
matematicas_aplicadas_ccss_ii,Convocatoria Extraordinaria,MAACCSS II 2017-2018,https://drive.google.com/file/d/1Bacg_5bpERjSBcASgBxpc2546Y1-oJ2E/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Bacg_5bpERjSBcASgBxpc2546Y1-oJ2E,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_extraordinaria/matematicas_aplicadas_ccss_ii_2017_2018.pdf,downloaded,,1338c70dd7348c6a022e11d8085eacdeb6afe75791f219ae52d1b330a0679a4d,403476
